uid_archive,date,company_code,company,company_type,company_parent_code,company_parent,company_parent_country,sentiment,prominence,partnership,issue_code1,issue_name1,issue_code2,issue_name2,issue_code3,issue_name3,active_country_code1,active_country1,active_country_code2,active_country2,active_country_code3,active_country3,active_country_code4,active_country4,active_country_code5,active_country5,active_country_code6,active_country6,target_country_code1,target_country1,target_country_code2,target_country2,target_country_code3,target_country3,target_country_code4,target_country4,target_country_code5,target_country5,target_country_code6,target_country6,ngo_code1,ngo_name1,ngo_power1,ngo_country_code1,ngo_country1,ngo_code2,ngo_name2,ngo_power2,ngo_country_code2,ngo_country2,ngo_code3,ngo_name3,ngo_power3,ngo_country_code3,ngo_country3,ngo_code4,ngo_name4,ngo_power4,ngo_country_code4,ngo_country4,ngo_code5,ngo_name5,ngo_power5,ngo_country_code5,ngo_country5,country_code_corp,country_corp,corp_industry_sector_code1,corp_industry_sector1,corp_industry_sector_code2,corp_industry_sector2,corp_industry_sector_code3,corp_industry_sector3,isin_corporate_name_official,isin_corporate_name_cleaned,bloomberg_ticker,isin_1,isin_2,isin_3,industry_sector_code1,industry_sector1,industry_sector_code2,industry_sector2,industry_sector_code3,industry_sector3,industry_sector_code4,industry_sector4,report,link1,link2,link3,link4,link5
36273,2010-10-01,67,Tesoro,Parent,67,Tesoro,US,-1,2,0,3443,Climate change - intl/govt action on GHG emissions,,,,,840,US,,,,,,,,,,,840,US,,,,,,,,,,,275,Consumers Union USA,1.5,840,US,,,,,,,,,,,,,,,,,,,,,840,US,1327,Oil,,,,,Tesoro Corp,Tesoro ,TSO,US8816091016,,,1315.0,Energy,1325.0,Power generation,1332.0,Renewable energy,,,"In the U.S., Consumers Union added its influential voice to calls for Californian voters in to reject the ballot measure Prop 23 in November, which aims to repeal the state's carbon emissions and renewable energy law. It said the measure is a bad deal for the state, would damage the economy and the environment, and simply serves the interests of the oil industry. See",http://www.consumersunion.org/pub/core_other_issues/016931.html,,,,
36273,2010-10-01,103,Valero Energy Corporation,Parent,103,Valero Energy Corporation,US,-1,2,0,3443,Climate change - intl/govt action on GHG emissions,,,,,840,US,,,,,,,,,,,840,US,,,,,,,,,,,275,Consumers Union USA,1.5,840,US,,,,,,,,,,,,,,,,,,,,,840,US,1286,Chemicals,1315.0,Energy,1327.0,Oil,Valero Energy Corp,Valero Energy ,VLO,US91913Y1001,,,1315.0,Energy,1325.0,Power generation,1332.0,Renewable energy,,,"In the U.S., Consumers Union added its influential voice to calls for Californian voters in to reject the ballot measure Prop 23 in November, which aims to repeal the state's carbon emissions and renewable energy law. It said the measure is a bad deal for the state, would damage the economy and the environment, and simply serves the interests of the oil industry. See",http://www.consumersunion.org/pub/core_other_issues/016931.html,,,,
36247,2010-01-06,4,Pfizer,Parent,4,Pfizer,US,-1,2,0,3375,Drug safety,,,,,392,Japan,,,,,,,,,,,392,Japan,,,,,,,,,,,628,Medwatcher Japan,1.0,392,Japan,,,,,,,,,,,,,,,,,,,,,840,US,1340,Pharmaceuticals,,,,,Pfizer Inc,Pfizer ,PFE,US7170811035,,,1340.0,Pharmaceuticals,,,,,,,"<p>In Japan, Medwatcher/Yakugai demanded Pfizer again revise the package insert supplied with its Champix smoking cessation treatment to warn users of possible neuropsychiatric symptoms including changes in behavior, agitation, depressed mood, suicidal thoughts and suicidal behavior. Medwatcher claimed the new Japanese wording on the warning section implies these symptoms result from the smoking cessation itself. See</p>",http://www.yakugai.gr.jp/en/topics/topic.php?id=737,,,,
35283,2010-12-23,277,C&A,Parent,277,C&A,Germany,0,2,0,3380,Fashion - supply chain responsibility,3974.0,Sandblasting denim,,,756,Switzerland,,,,,,,,,,,756,Switzerland,,,,,,,,,,,130,Berne Declaration EvB,1.0,756,Switzerland,,,,,,,,,,,,,,,,,,,,,276,Germany,1352,Fashion,1322.0,Retail,1351.0,Textiles,,,,,,,1351.0,Textiles,1352.0,Fashion,,,,,", while Lee, Wrangler and Benetton have agreed to stop by the end of 2011. NGOs complain that sandblasting jeans causes silicosis in workers.<br /><em>SIGWatch comment: Clean Clothes and allies in developing countries have been pressing all the leading players in the fashion industry to agree to end sandblasting, especially in developing countries where they say workers are often not properly protected. Once they have secured the cooperation of the big labels, they are likely to start focusing on luxury brands which have yet to comply. Meanwhile Bern Declaration is lobbying for an import ban and for brands to make manufacturers fund disability compensation.</em><br />See",http://www.evb.ch/p25018978.html ,,,,
35283,2010-12-23,282,Levi Strauss & Co,Parent,282,Levi Strauss & Co,US,0,2,0,3380,Fashion - supply chain responsibility,3974.0,Sandblasting denim,,,756,Switzerland,,,,,,,,,,,756,Switzerland,,,,,,,,,,,130,Berne Declaration EvB,1.0,756,Switzerland,,,,,,,,,,,,,,,,,,,,,840,US,1352,Fashion,1351.0,Textiles,,,,,,,,,1351.0,Textiles,1352.0,Fashion,,,,,", while Lee, Wrangler and Benetton have agreed to stop by the end of 2011. NGOs complain that sandblasting jeans causes silicosis in workers.<br /><em>SIGWatch comment: Clean Clothes and allies in developing countries have been pressing all the leading players in the fashion industry to agree to end sandblasting, especially in developing countries where they say workers are often not properly protected. Once they have secured the cooperation of the big labels, they are likely to start focusing on luxury brands which have yet to comply. Meanwhile Bern Declaration is lobbying for an import ban and for brands to make manufacturers fund disability compensation.</em><br />See",http://www.evb.ch/p25018978.html ,,,,
35283,2010-12-23,591,H&M (Hennes & Mauritz AB),Parent,591,H&M (Hennes & Mauritz AB),Sweden,0,2,0,3380,Fashion - supply chain responsibility,3974.0,Sandblasting denim,,,756,Switzerland,,,,,,,,,,,756,Switzerland,,,,,,,,,,,130,Berne Declaration EvB,1.0,756,Switzerland,,,,,,,,,,,,,,,,,,,,,752,Sweden,1352,Fashion,1322.0,Retail,,,Hennes & Mauritz AB,Hennes & Mauritz ,,SE0000106270,,,1351.0,Textiles,1352.0,Fashion,,,,,", while Lee, Wrangler and Benetton have agreed to stop by the end of 2011. NGOs complain that sandblasting jeans causes silicosis in workers.<br /><em>SIGWatch comment: Clean Clothes and allies in developing countries have been pressing all the leading players in the fashion industry to agree to end sandblasting, especially in developing countries where they say workers are often not properly protected. Once they have secured the cooperation of the big labels, they are likely to start focusing on luxury brands which have yet to comply. Meanwhile Bern Declaration is lobbying for an import ban and for brands to make manufacturers fund disability compensation.</em><br />See",http://www.evb.ch/p25018978.html ,,,,
35283,2010-12-23,1196,Migros,Parent,1196,Migros,Switzerland,0,4,0,3380,Fashion - supply chain responsibility,3974.0,Sandblasting denim,,,756,Switzerland,,,,,,,,,,,756,Switzerland,,,,,,,,,,,130,Berne Declaration EvB,1.0,756,Switzerland,,,,,,,,,,,,,,,,,,,,,756,Switzerland,1322,Retail,,,,,,,,,,,1351.0,Textiles,1352.0,Fashion,,,,,", while Lee, Wrangler and Benetton have agreed to stop by the end of 2011. NGOs complain that sandblasting jeans causes silicosis in workers.<br /><em>SIGWatch comment: Clean Clothes and allies in developing countries have been pressing all the leading players in the fashion industry to agree to end sandblasting, especially in developing countries where they say workers are often not properly protected. Once they have secured the cooperation of the big labels, they are likely to start focusing on luxury brands which have yet to comply. Meanwhile Bern Declaration is lobbying for an import ban and for brands to make manufacturers fund disability compensation.</em><br />See",http://www.evb.ch/p25018978.html ,,,,
35283,2010-12-23,1369,Manor AG,Parent,1369,Manor AG,Switzerland,-1,4,0,3380,Fashion - supply chain responsibility,3974.0,Sandblasting denim,,,756,Switzerland,,,,,,,,,,,756,Switzerland,,,,,,,,,,,130,Berne Declaration EvB,1.0,756,Switzerland,,,,,,,,,,,,,,,,,,,,,756,Switzerland,1322,Retail,,,,,,,,,,,1351.0,Textiles,1352.0,Fashion,,,,,", while Lee, Wrangler and Benetton have agreed to stop by the end of 2011. NGOs complain that sandblasting jeans causes silicosis in workers.<br /><em>SIGWatch comment: Clean Clothes and allies in developing countries have been pressing all the leading players in the fashion industry to agree to end sandblasting, especially in developing countries where they say workers are often not properly protected. Once they have secured the cooperation of the big labels, they are likely to start focusing on luxury brands which have yet to comply. Meanwhile Bern Declaration is lobbying for an import ban and for brands to make manufacturers fund disability compensation.</em><br />See",http://www.evb.ch/p25018978.html ,,,,
35283,2010-12-23,1371,Wrangler,Brand,1370,VF Corporation,US,-1,2,0,3380,Fashion - supply chain responsibility,3974.0,Sandblasting denim,,,756,Switzerland,,,,,,,,,,,756,Switzerland,,,,,,,,,,,130,Berne Declaration EvB,1.0,756,Switzerland,,,,,,,,,,,,,,,,,,,,,840,US,1352,Fashion,1351.0,Textiles,1322.0,Retail,VF Corp,VF ,VFC,US9182041080,,,1351.0,Textiles,1352.0,Fashion,,,,,", while Lee, Wrangler and Benetton have agreed to stop by the end of 2011. NGOs complain that sandblasting jeans causes silicosis in workers.<br /><em>SIGWatch comment: Clean Clothes and allies in developing countries have been pressing all the leading players in the fashion industry to agree to end sandblasting, especially in developing countries where they say workers are often not properly protected. Once they have secured the cooperation of the big labels, they are likely to start focusing on luxury brands which have yet to comply. Meanwhile Bern Declaration is lobbying for an import ban and for brands to make manufacturers fund disability compensation.</em><br />See",http://www.evb.ch/p25018978.html ,,,,
35283,2010-12-23,1372,Lee,Brand,1370,VF Corporation,US,-1,2,0,3380,Fashion - supply chain responsibility,3974.0,Sandblasting denim,,,756,Switzerland,,,,,,,,,,,756,Switzerland,,,,,,,,,,,130,Berne Declaration EvB,1.0,756,Switzerland,,,,,,,,,,,,,,,,,,,,,840,US,1322,Retail,1351.0,Textiles,1352.0,Fashion,VF Corp,VF ,VFC,US9182041080,,,1351.0,Textiles,1352.0,Fashion,,,,,", while Lee, Wrangler and Benetton have agreed to stop by the end of 2011. NGOs complain that sandblasting jeans causes silicosis in workers.<br /><em>SIGWatch comment: Clean Clothes and allies in developing countries have been pressing all the leading players in the fashion industry to agree to end sandblasting, especially in developing countries where they say workers are often not properly protected. Once they have secured the cooperation of the big labels, they are likely to start focusing on luxury brands which have yet to comply. Meanwhile Bern Declaration is lobbying for an import ban and for brands to make manufacturers fund disability compensation.</em><br />See",http://www.evb.ch/p25018978.html ,,,,
